id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,not_compliant,status,inactive_loans,bad_loans,emp_length_num,grade_num,sub_grade_num,delinq_2yrs_zero,pub_rec_zero,collections_12_mths_zero,short_emp,payment_inc_ratio,final_d,last_delinq_none,last_record_none,last_major_derog_none
11454641,13386795,18000,18000,18000, 36 months,8.9,571.56,A,A5,attorney,< 1 year,RENT,100000,Verified,20140101T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11454641,  Borrower added on 01/29/14 > I am using this loan exclusively to pay off all my credit card debt. The credit cards I need to pay off have APRs between 24% and 29%. I earn a steady income and am fiscally responsible and am eager to get ahead of this debt (that I incurred in college and law school) once and for all.<br>,credit_card,Credit card refinancing,900xx,CA,26.27,0,20030901T000000,2,,,17,0,18993,43.2,43,w,0,0,19185.9,19185.9,18000,1185.87,0,0,0,20141201T000000,14041.8,,20150201T000000,0,,1,0,Fully Paid,1,0,1,6,1,1,1,1,1,6.85872,20170101T000000,1,1,1
11404723,13336877,11975,11975,11975, 36 months,23.7,467.93,F,F1,Warehouse manager,< 1 year,RENT,40000,Not Verified,20140101T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11404723,  Borrower added on 01/28/14 > I have multiple credit cards with varying interest rates i would like to consolidate into one easy monthly payment to make managing my finances easier.<br>,debt_consolidation,Debt consolidation,339xx,FL,19.11,0,20080101T000000,3,,,10,0,10949,71.6,12,w,0,0,3275.51,3275.51,1719.17,1556.34,0,0,0,20140901T000000,467.93,,20150101T000000,0,,1,0,Charged Off,1,1,1,1,0.2,1,1,1,1,14.0379,20170101T000000,1,1,1
11414624,13346778,20000,20000,19950, 60 months,14.47,470.26,C,C2,Partner,7 years,MORTGAGE,90000,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11414624,  Borrower added on 01/28/14 > I have had some credit issues but have always maintained my status on home and cars.  I filed Ch 13 bankruptcy in 2005 and paid off in 2007 so am looking to get some personal debt paid back and small credit card balance to pay off.  also home improvement.  I am a good risk and just need some help<br>,debt_consolidation,Debt consolidation,440xx,OH,13.95,2,19860501T000000,2,10,,11,0,24237,57.2,15,f,0,0,22697.2,22640.5,20000,2697.19,0,0,0,20150101T000000,17994.6,,20150201T000000,1,10,1,0,Fully Paid,1,0,8,4,0.4,0,1,0,0,6.27013,20190201T000000,0,1,0
11384649,13326802,18000,18000,18000, 60 months,24.5,523.07,F,F3,SALES MANAGER,3 years,MORTGAGE,110000,Source Verified,20140101T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11384649,,other,Other,331xx,FL,18.25,0,20050401T000000,1,,,26,0,42393,43.8,40,f,0,0,18507.8,18507.8,18000,507.81,0,0,0,20140301T000000,7023.11,,20140401T000000,0,,1,0,Fully Paid,1,0,4,1,0.6,1,1,1,0,5.70622,20190101T000000,1,1,1
11364650,13296801,6250,6250,6250, 36 months,21.48,237.02,E,E2,Sales Associate,4 years,RENT,20000,Not Verified,20140101T000000,Default,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11364650,  Borrower added on 01/28/14 > I want to consolidate my credit cards so I could have one simple payment a month instead of 6 different payments. I don't want to spend 5-7 years paying them off.<br>,debt_consolidation,Debt consolidation,446xx,OH,11.1,0,20010501T000000,0,,,7,0,5135,76.6,9,f,5183.82,5183.82,1896.16,1896.16,1066.18,829.98,0,0,0,20141001T000000,237.02,20150301T000000,20150201T000000,0,,1,0,Default,1,1,5,2,0.4,1,1,1,0,14.2212,20170101T000000,1,1,1
10116723,11968760,10400,10400,10400, 36 months,16.24,366.87,C,C5,FINANCIAL EXAMINER,5 years,RENT,62000,Not Verified,20140101T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10116723,,debt_consolidation,Debt consolidation,919xx,CA,29.56,0,19970401T000000,2,49,,7,0,39313,79.7,16,f,0,0,2201.22,2201.22,1403.48,797.74,0,0,0,20140801T000000,366.87,,20150101T000000,0,49,1,0,Charged Off,1,1,6,4,1,1,1,1,0,7.10071,20170101T000000,0,1,0
10597312,12529317,12175,12175,12175, 60 months,23.4,346.03,E,E5,Customer Service,10+ years,RENT,34000,Verified,20140101T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10597312,,debt_consolidation,Debt consolidation,956xx,CA,11.9,0,20040401T000000,1,,,7,0,15940,62.8,7,w,0,0,14719.4,14719.4,12175,2544.42,0,0,0,20150101T000000,11259.1,,20150101T000000,0,,1,0,Fully Paid,1,0,11,2,1,1,1,1,0,12.2128,20190101T000000,1,1,1
11275929,13188099,6000,6000,6000, 36 months,11.99,199.26,B,B3,Assistant Principal,8 years,MORTGAGE,69000,Not Verified,20140101T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11275929,,debt_consolidation,Debt consolidation,890xx,NV,5.1,1,19950601T000000,0,7,,26,0,7282,38.3,61,w,0,0,1992.6,1992.6,1457.44,535.16,0,0,0,20141201T000000,199.26,,20150201T000000,0,54,1,0,Charged Off,1,1,9,5,0.6,0,1,1,0,3.46539,20170101T000000,0,1,0
10099706,11951297,6000,6000,6000, 36 months,13.98,205.01,C,C1,parts manager,3 years,RENT,81000,Not Verified,20140101T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10099706,"  Borrower added on 01/28/14 > Debt consolidation,  pay off difference owed on vehicle currently financed. Vehicle to be sold to reduce overall debt.<br>",debt_consolidation,Debt consolidation,923xx,CA,12.7,0,19951001T000000,3,25,,10,0,16322,52.4,32,f,0,0,6737.41,6737.41,6000,737.41,0,0,0,20150101T000000,4482.3,,20150201T000000,0,25,1,0,Fully Paid,1,0,4,4,0.2,1,1,1,0,3.03719,20170101T000000,0,1,0
11275653,13187817,4800,4800,4800, 36 months,10.99,157.13,B,B2,,n/a,OWN,60000,Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11275653,,major_purchase,Major purchase,721xx,AR,32.9,0,19780801T000000,1,,,8,0,760,1.8,25,w,0,0,5251.65,5251.65,4800,451.65,0,0,0,20150101T000000,3680.35,,20150201T000000,0,,1,0,Fully Paid,1,0,0,5,0.4,1,1,1,1,3.1426,20170201T000000,1,1,1
10696060,12588156,28800,28800,28800, 36 months,9.67,924.84,B,B1,Sales,10+ years,MORTGAGE,80000,Source Verified,20140101T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10696060,,credit_card,Credit card refinancing,956xx,CA,7.94,1,19970101T000000,1,17,,7,0,10427,21.1,24,w,0,0,30933.2,30933.2,28800,2133.22,0,0,0,20150201T000000,9184.82,,20150201T000000,0,17,1,0,Fully Paid,1,0,11,5,0.2,0,1,1,0,13.8726,20170101T000000,0,1,0
10595300,12527405,20000,20000,19975, 60 months,16.99,496.95,D,D1,Radiologic Technologist,9 years,MORTGAGE,58000,Source Verified,20140101T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10595300,,debt_consolidation,Credit card refinancing,640xx,MO,10.18,0,20050301T000000,1,,,9,0,19836,51.9,27,f,0,0,2484.75,2481.64,1099.62,1385.13,0,0,0,20140701T000000,496.95,,20141201T000000,0,,1,0,Charged Off,1,1,10,3,0.2,1,1,1,0,10.2817,20190101T000000,1,1,1
11364709,13296858,3700,3700,3700, 36 months,20.5,138.45,E,E1,Production Administrator,10+ years,RENT,32000,Not Verified,20140101T000000,Default,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11364709,,medical,Medical expenses,125xx,NY,25.54,0,20051101T000000,1,,,6,0,11703,42.1,10,w,3060.82,3060.82,1107.6,1107.6,639.18,468.42,0,0,0,20141001T000000,138.45,20150401T000000,20150201T000000,0,,1,0,Default,1,1,11,2,0.2,1,1,1,0,5.19187,20170101T000000,1,1,1
11364627,13296778,12650,12650,12650, 36 months,16.99,450.95,D,D1,,n/a,MORTGAGE,52700,Source Verified,20140101T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11364627,"  Borrower added on 01/28/14 > Pay IRS for last years Tax, Pay off Credit Cards, and have a small  cushion for emergencies.<br><br> Borrower added on 01/28/14 > Pay Tax Bill, Credit Cards, repair boat<br>",other,Other,984xx,WA,14.71,3,19991001T000000,2,4,27,14,4,4702,27.3,21,f,0,0,13506.5,13506.5,12650,856.48,0,0,0,20140701T000000,11702.7,,20140601T000000,0,,1,0,Fully Paid,1,0,0,3,0.2,0,0,1,1,10.2683,20170101T000000,0,0,1
10695215,12587336,14450,14450,14425, 60 months,16.24,353.25,C,C5,manager/driver,1 year,MORTGAGE,39000,Verified,20140101T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10695215,,major_purchase,Major purchase,330xx,FL,26.74,1,20031101T000000,1,14,,11,0,7915,19.8,38,f,0,0,15590.7,15563.8,14450,1140.74,0,0,0,20140801T000000,13824.5,,20141201T000000,0,,1,0,Fully Paid,1,0,2,4,1,0,1,1,0,10.8692,20190101T000000,0,1,1
11266015,13178195,15250,15250,15200, 60 months,23.4,433.42,E,E5,Operations Coordinator,2 years,RENT,45000,Source Verified,20140101T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11266015,,debt_consolidation,Debt consolidation,328xx,FL,17.84,1,20061001T000000,0,9,,7,0,960,32,23,f,0,0,1733.68,1728,416.15,1317.53,0,0,0,20140701T000000,433.42,,20150101T000000,0,,1,0,Charged Off,1,1,3,2,1,0,1,1,0,11.5579,20190101T000000,0,1,1
11266012,13178192,25000,25000,25000, 36 months,11.99,830.24,B,B3,Administrator,< 1 year,MORTGAGE,90000,Verified,20140101T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11266012,,credit_card,Credit card refinancing,770xx,TX,15.31,1,19961201T000000,0,11,,9,0,23870,53,29,w,0,0,27419,27419,25000,2418.98,0,0,0,20150101T000000,19116.6,,20141201T000000,0,,1,0,Fully Paid,1,0,1,5,0.6,0,1,1,1,11.0699,20170101T000000,0,1,1
11276276,13188445,8000,8000,8000, 36 months,18.25,290.23,D,D3,Pre-Sales Consultant,< 1 year,RENT,162000,Source Verified,20140101T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11276276,  Borrower added on 01/28/14 > Debt consolidation<br>,debt_consolidation,Debt consolidation,282xx,NC,13.57,0,20040701T000000,1,,103,16,1,12882,36.8,27,f,0,0,8999.36,8999.36,8000,999.36,0,0,0,20141101T000000,6677.52,,20150101T000000,0,,1,0,Fully Paid,1,0,1,3,0.6,1,0,1,1,2.14985,20170101T000000,1,0,1
11316392,13228574,10000,10000,10000, 36 months,11.99,332.1,B,B3,Maintainance,4 years,MORTGAGE,50000,Not Verified,20140201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11316392,,debt_consolidation,Debt consolidation,978xx,OR,21.2,0,20020601T000000,1,55,,9,0,2204,18.7,21,w,0,0,1992.6,1992.6,1428.37,564.23,0,0,0,20140801T000000,332.1,,20150101T000000,0,55,1,0,Charged Off,1,1,5,5,0.6,1,1,1,0,7.9704,20170201T000000,0,1,0
11424571,13356722,25925,25925,25850, 36 months,9.67,832.52,B,B1,System Analyst,8 years,MORTGAGE,83000,Verified,20140101T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11424571,,credit_card,Credit card refinancing,110xx,NY,9.6,0,19990301T000000,0,,,8,0,33314,53.9,32,f,0,0,3502.84,3492.71,2700.3,802.54,0,0,0,20140601T000000,832.52,,20141001T000000,0,,1,0,Charged Off,1,1,9,5,0.2,1,1,1,0,12.0364,20170101T000000,1,1,1
